datetime,mileage,avgSpeed,maxSpeed,moveTime,engineTime,parking,consumed,avgConsumed,initialPitchAngle,initialRollAngle,initialVolFuelRalenti,initialVolFuelOptimo,initialVolSobrecarga,initialHorasRalenti,initialHorasOptimo,finalPitchAngle,finalRollAngle,finalVolFuelRalenti,finalVolFuelOptimo,finalVolFuelSobrecarga,finalHorasRalenti,finalHorasOptimo,fuelRalenti,fuelOptimo,fuelTotal,horasRalenti,horasOptimo,horasTotal,nm
(2023-02-27) 0:00,10.76,11.0,32.0,0.73,0.8,0.25,23.23,0.46,5.38,0.5,2894.38,41269.22,0.0,399.45,635.18,-1.96,0.11,2897.21,41289.62,0.0,399.81,635.57,2.8299999999999272,20.400000000001455,23.230000000001382,0.36000000000001364,0.39000000000010004,0.7500000000001137,HT62
(2023-02-27) 1:00,16.58,17.0,37.0,1.41,0.96,0.11,36.81,0.45,-2.07,0.22,2897.29,41289.76,0.0,399.82,635.57,2.91,1.62,2899.82,41324.04,0.0,400.14,636.22,2.5300000000002,34.279999999998836,36.809999999999036,0.3199999999999932,0.6499999999999773,0.9699999999999704,HT62
(2023-02-27) 2:00,14.5,15.0,37.0,1.35,0.98,0.16,28.51,0.51,-1.18,4.87,2899.82,41324.04,0.0,400.14,636.22,-0.56,6.22,2902.53,41349.8,0.0,400.59,636.72,2.7100000000000364,25.760000000002037,28.470000000002074,0.44999999999998863,0.5,0.9499999999999886,HT62
(2023-02-27) 3:00,19.05,19.0,34.0,0.0,0.97,0.0,31.88,0.6,2.24,6.56,2902.53,41349.84,0.0,400.59,636.74,-1.85,0.05,2904.87,41379.18,0.0,400.9,637.29,2.3399999999996908,29.340000000003783,31.680000000003474,0.3100000000000023,0.5499999999999545,0.8599999999999568,HT62
(2023-02-27) 4:00,6.76,7.0,30.0,1.28,0.47,0.56,14.26,0.47,-1.01,-0.67,2904.87,41379.42,0.0,400.9,637.31,5.77,-3.64,2906.22,41391.92,0.0,401.07,637.63,1.349999999999909,12.5,13.849999999999909,0.17000000000001592,0.32000000000005,0.49000000000006594,HT62
(2023-02-27) 5:00,13.11,13.0,27.0,0.38,0.98,0.08,28.77,0.46,5.88,-3.19,2906.3,41392.32,0.0,401.07,637.64,1.79,1.12,2908.54,41418.78,0.0,401.37,638.2,2.2399999999997817,26.459999999999127,28.69999999999891,0.30000000000001137,0.5600000000000591,0.8600000000000705,HT62
(2023-02-27) 6:00,13.53,14.0,42.0,1.59,0.66,0.43,15.89,0.85,-0.78,0.84,2908.74,41418.78,0.0,401.39,638.2,-2.91,7.74,2909.97,41433.31,0.0,401.59,638.58,1.2300000000000182,14.529999999998836,15.759999999998854,0.19999999999998863,0.37999999999999545,0.5799999999999841,HT62
(2023-02-27) 7:00,11.73,12.0,31.0,0.0,0.97,0.0,47.42,0.25,-2.69,7.74,2910.05,41433.31,0.0,401.6,638.58,0.05,-1.46,2912.26,41478.53,0.0,401.97,639.19,2.2100000000000364,45.220000000001164,47.4300000000012,0.37000000000000455,0.6100000000000136,0.9800000000000182,HT62
(2023-02-27) 8:00,8.04,8.0,30.0,0.0,0.43,0.58,10.61,0.76,-2.46,-4.43,2912.28,41478.73,0.0,401.98,639.19,-1.12,-0.56,2913.6,41487.8,0.0,402.13,639.45,1.319999999999709,9.069999999999709,10.389999999999418,0.14999999999997726,0.2599999999999909,0.40999999999996817,HT62
(2023-02-27) 9:00,0.02,0.0,0.0,0.0,0.0,0.98,0.0,0.0,-1.12,-0.56,0.0,0.0,0.0,0.0,0.0,-1.18,-1.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HT62
(2023-02-27) 10:00,0.01,0.0,0.0,0.0,0.0,0.98,0.0,0.0,-1.23,-1.4,0.0,0.0,0.0,0.0,0.0,-1.34,-1.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HT62
(2023-02-27) 11:00,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,-1.34,-1.51,0.0,0.0,0.0,0.0,0.0,-1.34,-1.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HT62
